ID,korosztaly,kor,nem,alkohol_24ora_mennyiseg,alkohol_24ora_ido,alkohol_rendszeres_gyakorisag,alkohol_rendszeres_mennyiseg,koffein_24ora,koffein_24_óra_egység1,koffein_24_óra_idõ1,koffein_24_óra_fajta1,koffein_24_óra_egység2,koffein_24_óra_idõ2,koffein_24_óra_fajta2,koffein_rendszeres_kave,koffein_rendszeres_tea,koffein_rendszeres_energiaital,koffein_rendszeres_szensavas_udito,koffein_rendszeres_gyakorisag,koffein_rendszeres_mennyiseg,alvas_tegnap_mennyiseg,alvas_atlagos_mennyiseg,testmozgas_rendszeres_milyet,testmozgas_jelenleg,testmozgas_rendszeres_miota,testmozgas_rendszeres_gyakorisag,ules_atlagos_idotartam,nikotin_24ora,nikotin_24ora_mennyiseg,Nikotin_rendszeres_fajták,nikotin_rendszeres_gyakorisag,nikotin_rendszeres_mennyiseg
808485,YA,19,nõ,1,20,egyszer egy héten,4.5,1,1,4,kávé,0,0,egység,1,1,0,0,soha,1,5-6 óra,5-6 óra,"tánc, futás, súlyzós edzés",súlyzós edzés,2,heti 8-10 óra,5.5,1,5,elektromos cigaretta,4,4
690719,YA,21,nõ,0,0,3-5 alkalommal egy héten,1.5,1,1,4,kávé,0,0,egység,1,0,0,0,csak különleges alkalmakon,1,5-6 óra,5-6 óra,nem,,0,"több, mint heti 10 óra",3.5,0,0,nincs,0,0
568568,OA,73,nõ,1,17,csak különleges alkalmakon,2,1,1,5,kávé,0,0,egység,1,1,0,0,soha,2,5-6 óra,5-6 óra,kertészkedés,kertészkedés,18,"kevesebb, mint heti 2 óra",2.5,1,1,cigaretta,4,5
756279,YA,21,nõ,1,20,3-5 alkalommal egy héten,2.5,0,0,0,egység,0,0,egység,0,1,0,1,csak különleges alkalmakon,1,6-7 óra,6-7 óra,nem,,0,NA,3.5,0,0,nincs,0,0
676145,YA,21,nõ,1,12,minden nap,4,1,1,2,kávé,0,0,egység,1,1,0,0,soha,2,7-8 óra,7-8 óra,"labdajáték, torna, egyéb, futás, tánc, úszás",labdajáték,15,heti 8-10 óra,8.5,0,0,nincs,0,0
292991,YA,20,nõ,0,0,minden nap,3,1,1,4,kávé,0,0,egység,1,0,0,0,soha,2,5-6 óra,5-6 óra,"küzdõsport, futás","futás, küzdõsport",13,heti 5-8 óra,10,0,0,nincs,0,0
401526,YA,21,nõ,0,0,minden nap,2,1,1,NA,kávé,0,0,egység,1,1,0,0,csak különleges alkalmakon,1,5-6 óra,5-6 óra,"tánc, torna",tánc,8,heti 8-10 óra,4,0,0,nincs,0,0
211099,YA,27,férfi,0,0,minden nap,3,0,0,0,egység,0,0,egység,1,0,0,0,egyszer egy héten,1,5-6 óra,5-6 óra,"úszás, súlyzós edzés",úszás,1,"több, mint heti 10 óra",5,0,0,nincs,0,0
697600,YA,20,nõ,0,0,minden nap,2,1,1,4,kávé,0,0,egység,1,0,0,0,csak különleges alkalmakon,1.5,5-6 óra,5-6 óra,"úszás, labdajáték, tánc",tánc,7,heti 8-10 óra,7,0,0,nincs,0,0
235864,YA,20,nõ,2,18,egyszer egy héten,2,0,0,0,egység,0,0,egység,0,1,0,1,egyszer egy héten,1,5-6 óra,5-6 óra,"labdajáték, tánc, egyéb", egyéb,5,"több, mint heti 10 óra",13,0,0,elektromos cigaretta,1,1
