itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,21.271171733736992,None,4,73.25731019629166,21.271171733736992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,94.57232600147836,None,97.6102024896536,None,98.59744004742242,None,98.59744004742242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,104.57628106488846,None,105.59602621407248,None,105.59602621407248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,111.58750464953482,None,112.59680652804673,None,112.59680652804673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,118.56906945747323,None,119.58786292839795,None,119.58786292839795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.56735301553272,None,4,12.914922441355884,125.56735301553272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
3,majoránna,szikla,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,138.51873158058152,None,,,,,,,,,,,majoránna,139.52946253190748,None,4,11.296933294273913,139.52946253190748,None,139.52946253190748,None,139.52946253190748,None, szikla,150.87245021713898,None,150.87245021713898,None,down,6.692598243709654,150.87245021713898,None,157.61031165276654,None,4,6.815893464256078,157.61031165276654,None,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,164.45444073039107,None,,,,,,,,,,,szintetizátor,165.46996210701764,None,4,1.0449562289286405,165.46996210701764,None,165.46996210701764,None,165.46996210701764,None, lepke,166.55810307478532,None,166.55810307478532,None,down,1.9991885852068663,166.55810307478532,None,168.58812510641292,None,4,1.423783624311909,168.58812510641292,None,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
4,kard,harcsa,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,170.03741557733156,None,,,,,,,,,,,kard,171.0442788579967,None,4,0.9117470700293779,171.0442788579967,None,171.0442788579967,None,171.0442788579967,None, harcsa,171.9878972012084,None,171.9878972012084,None,down,2.3447908982634544,171.9878972012084,None,174.36751952813938,None,4,0.8735430922824889,174.36751952813938,None,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
1,sapka,beton,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,175.27100814459845,None,,,,,,,,,,,sapka,176.28923745057546,None,4,0.35743360314518213,176.28923745057546,None,176.28923745057546,None,176.28923745057546,None, beton,176.68160511436872,None,176.68160511436872,None,down,1.9554057819768786,176.68160511436872,None,178.6594891664572,None,4,1.3300890224054456,178.6594891664572,None,,,,,,,,,,,,,,,,,,,,,004077,2022_May_12_1111,palt,2021.1.2,51.02671651147944,
