itemno	wordA	wordB	enc_gyak.thisRepN	enc_gyak.thisTrialN	enc_gyak.thisN	enc_gyak.thisIndex	rec_gyak.thisRepN	rec_gyak.thisTrialN	rec_gyak.thisN	rec_gyak.thisIndex	repeat_task.thisRepN	repeat_task.thisTrialN	repeat_task.thisN	repeat_task.thisIndex	enc_loop.thisRepN	enc_loop.thisTrialN	enc_loop.thisN	enc_loop.thisIndex	test_loop.thisRepN	test_loop.thisTrialN	test_loop.thisN	test_loop.thisIndex	int.started	int.stopped	int_key.keys	int_key.rt	int_key.started	int_key.stopped	prepare_gyak_text.started	prepare_gyak_text.stopped	fix.started	fix.stopped	word1.started	word1.stopped	word2.started	word2.stopped	gykrec_inst.started	gykrec_inst.stopped	gyakrec_inst.keys	gyakrec_inst.rt	gyakrec_inst.started	gyakrec_inst.stopped	cueword	cueword1.started	cueword1.stopped	cue_resp.keys	cue_resp.rt	cue_resp.started	cue_resp.stopped	cue_cont_text.started	cue_cont_text.stopped	cue_space.started	cue_space.stopped	test_ansbox.text	test_ansbox.started	test_ansbox.stopped	ans_text.started	ans_text.stopped	ans_continue.keys	ans_continue.rt	ans_continue.started	ans_continue.stopped	main_prep.started	main_prep.stopped	main_prep_resp.keys	main_prep_resp.rt	main_prep_resp.started	main_prep_resp.stopped	preparation.started	preparation.stopped	break_text.started	break_text.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	test_instruction.started	test_instruction.stopped	test_i_key.keys	test_i_key.rt	test_i_key.started	test_i_key.stopped	rep_routine.keys	rep_routine.rt	rep_routine.started	rep_routine.stopped	encrep_textbox.started	encrep_textbox.stopped	Résztvevõ kódja	date	expName	psychopyVersion	frameRate
10	málna	dominó									0	0	0	0					0	0	0	9									377.32371334539494	None											dominó	378.3317488525354	None	4	1.1961267717415467	378.3317488525354	None	378.3317488525354	None	378.3317488525354	None	málna	379.5626960514928	None	379.5626960514928	None	down	3.6339277106162626	379.5626960514928	None							373.3024540999031	None	332.421468056069	None	u	33.11139893150539	332.421468056069	None	365.58079576928867	None	4	7.679941306618275	365.58079576928867	None							309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
8	szalvéta	puska									0	0	0	0					0	1	1	7									383.24103535720496	None											puska	384.2591870132892	None	4	2.1535277297662105	384.2591870132892	None	384.2591870132892	None	384.2591870132892	None	 szalvéta	386.4449590931472	None	386.4449590931472	None	down	9.74379057486658	386.4449590931472	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
7	csavarhúzó	hering									0	0	0	0					0	2	2	6									396.213260810473	None											csavarhúzó	397.2388645231549	None	4	1.0200264107843395	397.2388645231549	None	397.2388645231549	None	397.2388645231549	None	hering	398.29345042567	None	398.29345042567	None	down	4.91903006634675	398.29345042567	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
9	szilva	kecske									0	0	0	0					0	3	3	8									403.2551137448463	None											kecske	404.2730993228033	None	4	0.7795147905999329	404.2730993228033	None	404.2730993228033	None	404.2730993228033	None	 szilva	405.0913037880091	None	405.0913037880091	None	down	2.489142097561853	405.0913037880091	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
2	kötény	tisztás									0	0	0	0					0	4	4	1									407.62023435055744	None											kötény	408.64310679319897	None	4	2.993425918277353	408.64310679319897	None	408.64310679319897	None	408.64310679319897	None	triatlon	411.6678350190923	None	411.6678350190923	None	down	25.784532900579507	411.6678350190923	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
5	karton	hentes									0	0	0	0					0	5	5	4									437.4776254807366	None											hentes	438.50423685851274	None	None		438.50423685851274	None	438.50423685851274	None	438.50423685851274	None	 	453.5019192287873	None	453.5019192287873	None	down	10.67047112074215	453.5019192287873	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
1	bagoly	kirakó									0	0	0	0					0	6	6	0									464.20690008005477	None											bagoly	465.2162710544362	None	4	10.87279316681088	465.2162710544362	None	465.2162710544362	None	465.2162710544362	None	 kötény	476.141791852453	None	476.141791852453	None	down	5.054082069953438	476.141791852453	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
3	fogó	limonádé									0	0	0	0					0	7	7	2									481.2370581901632	None											limonádé	482.2542721578793	None	4	1.37571010843385	482.2542721578793	None	482.2542721578793	None	482.2542721578793	None	 fogó	483.65978054047446	None	483.65978054047446	None	down	15.056108285440132	483.65978054047446	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
4	mocsár	ananász									0	0	0	0					0	8	8	3									498.75395213090815	None											ananász	499.77202976716217	None	4	1.4760698199970648	499.77202976716217	None	499.77202976716217	None	499.77202976716217	None	 mocsár	501.2854046552675	None	501.2854046552675	None	down	8.310256351251155	501.2854046552675	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
6	menta	triatlon									0	0	0	0					0	9	9	5									509.6403444223979	None											triatlon	510.6501386783493	None	4	3.0875051394104958	510.6501386783493	None	510.6501386783493	None	510.6501386783493	None	 menta	513.7832978888182	None	513.7832978888182	None	down	7.444355738145532	513.7832978888182	None																											309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
											0	0	0	0																																																																					4	16.323310901381774	521.3502391960355	None	521.3502391960355	None	309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
5	karton	hentes									1	0	1	0	0	0	0	4													541.7245836694783	None	542.7207576521905	None	542.7207576521905	None																																	537.7115431146813	None																			309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
4	mocsár	ananász									1	0	1	0	0	1	1	3													548.7132863130828	None	549.7314078014169	None	549.7314078014169	None																																																					309797	2022_Mar_31_1539	palt	2021.01.02	59.99522330668293
