itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
1,bagoly,kirakó,,,,,0,2,2,0,,,,,,,,,270.6994074699469,None,,,,,,,,,,,,,,,,,bagoly,271.7315008617006,None,None,,271.7315008617006,None,271.7315008617006,None,271.7315008617006,None," 
",286.72013046080247,None,286.72013046080247,None,return,10.553383658174425,286.72013046080247,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
9,csavarhúzó,hering,,,,,0,3,3,8,,,,,,,,,297.30030671460554,None,,,,,,,,,,,,,,,,,csavarhúzó,298.3365772352554,None,None,,298.3365772352554,None,298.3365772352554,None,298.3365772352554,None," 
",313.30887930002064,None,313.30887930002064,None,return,2.6202886388637125,313.30887930002064,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
6,karton,hentes,,,,,0,4,4,5,,,,,,,,,315.9500666484237,None,,,,,,,,,,,,,,,,,hentes,316.9817697266117,None,None,,316.9817697266117,None,316.9817697266117,None,316.9817697266117,None," 
",331.98053223174065,None,331.98053223174065,None,return,6.428296809550375,331.98053223174065,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
14,lándzsa,fénymásoló,,,,,0,5,5,13,,,,,,,,,338.4328188453801,None,,,,,,,,,,,,,,,,,fénymásoló,339.464461277239,None,None,,339.464461277239,None,339.464461277239,None,339.464461277239,None," 
",354.44725825916976,None,354.44725825916976,None,return,1.2578148180618882,354.44725825916976,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
3,hárfa,elefánt,,,,,0,6,6,2,,,,,,,,,355.7409461317584,None,,,,,,,,,,,,,,,,,elefánt,356.7618585252203,None,4,1.5408979882486165,356.7618585252203,None,356.7618585252203,None,356.7618585252203,None," 
hárfa
",358.3323304406367,None,358.3323304406367,None,return,4.2842852105386555,358.3323304406367,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
5,mocsár,ananász,,,,,0,7,7,4,,,,,,,,,362.6585567551665,None,,,,,,,,,,,,,,,,,ananász,363.6851123631932,None,None,,363.6851123631932,None,363.6851123631932,None,363.6851123631932,None," 
",378.67780588567257,None,378.67780588567257,None,return,2.082654976285994,378.67780588567257,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
2,kötény,tisztás,,,,,0,8,8,1,,,,,,,,,380.80697158537805,None,,,,,,,,,,,,,,,,,kötény,381.83155479002744,None,None,,381.83155479002744,None,381.83155479002744,None,381.83155479002744,None, ,396.8299499959685,None,396.8299499959685,None,return,6.5062400358729064,396.8299499959685,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
13,tenisz,pizsama,,,,,0,9,9,12,,,,,,,,,403.3630989440717,None,,,,,,,,,,,,,,,,,pizsama,404.3787441304885,None,None,,404.3787441304885,None,404.3787441304885,None,404.3787441304885,None," 

",419.38293774286285,None,419.38293774286285,None,return,1.0410513142123818,419.38293774286285,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
7,menta,triatlon,,,,,0,10,10,6,,,,,,,,,420.4635095973499,None,,,,,,,,,,,,,,,,,triatlon,421.48259420506656,None,None,,421.48259420506656,None,421.48259420506656,None,421.48259420506656,None," 
",436.4762596231885,None,436.4762596231885,None,return,3.787533985450864,436.4762596231885,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
8,pelikán,kakaó,,,,,0,11,11,7,,,,,,,,,440.3103242367506,None,,,,,,,,,,,,,,,,,pelikán,441.33009523618966,None,None,,441.33009523618966,None,441.33009523618966,None,441.33009523618966,None, ,456.3411188647151,None,456.3411188647151,None,return,1.666816778946668,456.3411188647151,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
12,koktél,tolltartó,,,,,0,12,12,11,,,,,,,,,458.039460204076,None,,,,,,,,,,,,,,,,,tolltartó,459.0654659527354,None,None,,459.0654659527354,None,459.0654659527354,None,459.0654659527354,None," 
",474.0719983354211,None,474.0719983354211,None,return,1.135406980291009,474.0719983354211,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
4,fogó,limonádé,,,,,0,13,13,3,,,,,,,,,475.23567830212414,None,,,,,,,,,,,,,,,,,fogó,476.2519946405664,None,None,,476.2519946405664,None,476.2519946405664,None,476.2519946405664,None," 
",491.2530635702424,None,491.2530635702424,None,return,1.266128646209836,491.2530635702424,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
11,szilva,kecske,,,,,0,14,14,10,,,,,,,,,492.54075741255656,None,,,,,,,,,,,,,,,,,kecske,493.612863978371,None,None,,493.612863978371,None,493.612863978371,None,493.612863978371,None," 
",508.5521862828173,None,508.5521862828173,None,return,6.446680408902466,508.5521862828173,None,,,396251,2022_Mar_09_1603,palt,2021.1.2,59.981904962437845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0310092223808,None,,,,,,
