itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,cue_resp.rt,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.53678368171677,None,4,97.82015764294192,17.53678368171677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
2,lepke,szintetizátor,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,115.37638265779242,None,118.42668455187231,None,119.41040646703914,None,119.41040646703914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,125.39184559416026,None,126.39578884653747,None,126.39578884653747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,132.39171808119863,None,133.3970002173446,None,133.3970002173446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,139.37872018292546,None,140.3998608556576,None,140.3998608556576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.39177966071293,None,4,3.5743212439119816,146.39177966071293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,150.00700262421742,None,,,,,,,,,,,beton,151.01853537047282,None,None,151.01853537047282,None,151.01853537047282,None,151.01853537047282,None, ,166.01017800159752,None,166.01017800159752,None,down,10.830632033757865,166.01017800159752,None,176.89764679968357,None,4,2.9841912244446576,176.89764679968357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
3,majoránna,szikla,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,179.9197279564105,None,,,,,,,,,,,szikla,180.94107327144593,None,4,180.94107327144593,None,180.94107327144593,None,180.94107327144593,None, ,186.9495793012902,None,186.9495793012902,None,down,1.6833054153248668,186.9495793012902,None,188.6563905943185,None,4,1.8313921340741217,188.6563905943185,None,5.970959760248661,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,190.51586537901312,None,,,,,,,,,,,szintetizátor,191.55081723211333,None,4,191.55081723211333,None,191.55081723211333,None,191.55081723211333,None, ,206.21943660546094,None,206.21943660546094,None,down,1.485179603099823,206.21943660546094,None,207.72804340161383,None,4,1.4115385310724378,207.72804340161383,None,14.629810416605324,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,209.16105600446463,None,,,,,,,,,,,kard,210.16807044669986,None,4,210.16807044669986,None,210.16807044669986,None,210.16807044669986,None, ,220.92680833209306,None,220.92680833209306,None,down,2.2495781197212636,220.92680833209306,None,223.20430146995932,None,4,2.108099979814142,223.20430146995932,None,10.71831884747371,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3465583701618,None,4,43.37732656253502,225.3465583701618,None,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,272.7951909676194,None,273.76485289726406,None,273.76485289726406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.7523722029291,None,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
10,málna,dominó,,,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,279.75810965243727,None,280.76947943121195,None,280.76947943121195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,286.756603136193,None,287.76610625348985,None,287.76610625348985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,293.75705627305433,None,294.77651937585324,None,294.77651937585324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,300.75641902023926,None,301.76592058269307,None,301.76592058269307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,307.760253731627,None,308.76475399686024,None,308.76475399686024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
5,karton,hentes,,,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,314.7563664605841,None,315.75875312509015,None,315.75875312509015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,321.7588722403161,None,322.77103477483615,None,322.77103477483615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,328.758217882365,None,329.77484616078436,None,329.77484616078436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,335.7563677043654,None,336.7586452057585,None,336.7586452057585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,354.3447582637891,None,,,,,,,,,,,mocsár,355.34541479870677,None,4,355.34541479870677,None,355.34541479870677,None,355.34541479870677,None, ananász,369.9928869684227,None,369.9928869684227,None,down,3.2456896044313908,369.9928869684227,None,373.2882869322784,None,4,4.914389839395881,373.2882869322784,None,14.603304880671203,,,,,,,350.33085004938766,None,342.7660101526417,None,u,1.465509681031108,342.7660101526417,None,344.2827970441431,None,4,6.014147067908198,344.2827970441431,None,,,,,,,288292,2022_Jun_17_1129,palt,2021.1.2,53.00444104083547,
