itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,feedback_text.started,feedback_text.stopped,feedback_cont.keys,feedback_cont.rt,feedback_cont.started,feedback_cont.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,21.050700762309134,None,4,117.28952501667663,21.050700762309134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,138.3674013079144,None,141.3910497003235,None,142.38789732777514,None,142.38789732777514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,148.37354432907887,None,149.39033998106606,None,149.39033998106606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
4,kard,harcsa,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,155.37327468558215,None,156.38836788223125,None,156.38836788223125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,162.37684380821884,None,163.40028880164027,None,163.40028880164027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.37756410171278,None,4,17.43331127264537,169.37756410171278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,186.84329355764203,None,,,,,,,,,,,sapka,187.85576527146623,None,4,2.1720602633431554,187.85576527146623,None,187.85576527146623,None,187.85576527146623,None,beton,190.08075964218006,None,190.08075964218006,None,down,3.0299512713681906,190.08075964218006,None,193.15436922060326,None,4,2.453389920061454,193.15436922060326,None,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,195.6452685177792,None,,,,,,,,,,,lepke,196.66265788301826,None,4,1.5200612309854478,196.66265788301826,None,196.66265788301826,None,196.66265788301826,None, szintetizátor,198.20697770337574,None,198.20697770337574,None,down,6.055739395553246,198.20697770337574,None,204.2908579951618,None,4,1.6229052084963769,204.2908579951618,None,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,205.9456383679062,None,,,,,,,,,,,majoránna,206.97335567208938,None,4,1.2612827320117503,206.97335567208938,None,206.97335567208938,None,206.97335567208938,None, szikla,208.28140118857846,None,208.28140118857846,None,down,3.5973578044213355,208.28140118857846,None,211.91644782107323,None,4,1.1192048406228423,211.91644782107323,None,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,213.0672230385244,None,,,,,,,,,,,harcsa,214.08854602719657,None,4,2.7300053245853633,214.08854602719657,None,214.08854602719657,None,214.08854602719657,None, kard,216.8583808450494,None,216.8583808450494,None,down,2.5561863135080785,216.8583808450494,None,219.45433942624368,None,4,1.5571597670204937,219.45433942624368,None,,,,,,,,,,,,,,,,,,,,,626942,2022_Apr_25_1340,palt,2021.1.2,59.85710351898981,
