itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.912526583415456,None,4,36.666684290452395,10.912526583415456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,47.601012516824994,None,50.651035002665594,None,51.636746995849535,None,51.636746995849535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
4,kard,harcsa,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,57.61744274501689,None,58.62878084345721,None,58.62878084345721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,64.61379991134163,None,65.62654096563347,None,65.62654096563347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,71.6215247217333,None,72.62145256792428,None,72.62145256792428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.61513911065413,None,4,19.806460812687874,78.61513911065413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,98.46740794327343,None,,,,,,,,,,,kard,99.4831384040881,None,4,4.126802523096558,99.4831384040881,None,99.4831384040881,None,99.4831384040881,None,harcsa,103.66641682380578,None,103.66641682380578,None,down,2.2891087575699203,103.66641682380578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,105.99500117253046,None,,,,,,,,,,,beton,107.0119464295567,None,4,1.8826583325280808,107.0119464295567,None,107.0119464295567,None,107.0119464295567,None,sapka,108.92476287216414,None,108.92476287216414,None,down,2.422797614184674,108.92476287216414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,111.37175688898424,None,,,,,,,,,,,szintetizátor,112.39655944571132,None,4,2.392271581920795,112.39655944571132,None,112.39655944571132,None,112.39655944571132,None, lepke,114.82075535075273,None,114.82075535075273,None,down,2.9266737037105486,114.82075535075273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,117.79601344052935,None,,,,,,,,,,,majoránna,118.80957493331516,None,4,1.3208844189648516,118.80957493331516,None,118.80957493331516,None,118.80957493331516,None, szintetizátor,120.17819095501909,None,120.17819095501909,None,down,3.3452397465589456,120.17819095501909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,104096,2022_Apr_01_1644,palt,2021.1.2,59.982911876498896,
