itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,cue_resp.rt,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
12,koktél,tolltartó,,,,,0,2,2,11,,,,,,,,,276.3433469161391,None,,,,,,,,,,,,,,,,,tolltartó,277.3765502902679,None,4,277.3765502902679,None,277.3765502902679,None,277.3765502902679,None," 
koktél",291.6065639182925,None,291.6065639182925,None,return,4.004793233238161,291.6065639182925,None,14.165781749412417,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
3,hárfa,elefánt,,,,,0,3,3,2,,,,,,,,,295.6389950630255,None,,,,,,,,,,,,,,,,,elefánt,296.64777633408085,None,None,296.64777633408085,None,296.64777633408085,None,296.64777633408085,None," 
",311.65054989093915,None,311.65054989093915,None,return,2.4085298529826105,311.65054989093915,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
1,bagoly,kirakó,,,,,0,4,4,0,,,,,,,,,314.08839242579415,None,,,,,,,,,,,,,,,,,kirakó,315.1090199374594,None,None,315.1090199374594,None,315.1090199374594,None,315.1090199374594,None," 
",330.0975988423452,None,330.0975988423452,None,return,2.3136684908531606,330.0975988423452,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
4,fogó,limonádé,,,,,0,5,5,3,,,,,,,,,332.4364912114106,None,,,,,,,,,,,,,,,,,fogó,333.4477241472341,None,None,333.4477241472341,None,333.4477241472341,None,333.4477241472341,None," 
",348.45447112387046,None,348.45447112387046,None,return,3.3482496235519648,348.45447112387046,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
7,menta,triatlon,,,,,0,6,6,6,,,,,,,,,351.83639747370034,None,,,,,,,,,,,,,,,,,menta,352.8588708098978,None,None,352.8588708098978,None,352.8588708098978,None,352.8588708098978,None," 
",367.84473556047305,None,367.84473556047305,None,return,3.6537190480157733,367.84473556047305,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
11,szilva,kecske,,,,,0,7,7,10,,,,,,,,,371.5197912151925,None,,,,,,,,,,,,,,,,,szilva,372.5358257815242,None,None,372.5358257815242,None,372.5358257815242,None,372.5358257815242,None," 
",387.53981226403266,None,387.53981226403266,None,return,4.870727313682437,387.53981226403266,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
2,kötény,tisztás,,,,,0,8,8,1,,,,,,,,,392.4323871685192,None,,,,,,,,,,,,,,,,,kötény,393.45002497406676,None,None,393.45002497406676,None,393.45002497406676,None,393.45002497406676,None," 
",408.4618170997128,None,408.4618170997128,None,return,2.060149295721203,408.4618170997128,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
8,pelikán,kakaó,,,,,0,9,9,7,,,,,,,,,410.54471279494464,None,,,,,,,,,,,,,,,,,kakaó,411.5759991244413,None,4,411.5759991244413,None,411.5759991244413,None,411.5759991244413,None," 
pelikán",414.3576361136511,None,414.3576361136511,None,return,3.9247643970884383,414.3576361136511,None,2.7388701629824936,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
13,tenisz,pizsama,,,,,0,10,10,12,,,,,,,,,418.31515790103003,None,,,,,,,,,,,,,,,,,pizsama,419.33981263730675,None,4,419.33981263730675,None,419.33981263730675,None,419.33981263730675,None," 
tenisz",425.34051426826045,None,425.34051426826045,None,return,2.973641258664429,425.34051426826045,None,5.959896944928914,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
9,csavarhúzó,hering,,,,,0,11,11,8,,,,,,,,,428.33813973283395,None,,,,,,,,,,,,,,,,,csavarhúzó,429.3511976553127,None,None,429.3511976553127,None,429.3511976553127,None,429.3511976553127,None," 
",444.3475943328813,None,444.3475943328813,None,return,2.07800076296553,444.3475943328813,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
14,lándzsa,fénymásoló,,,,,0,12,12,13,,,,,,,,,446.4538264074363,None,,,,,,,,,,,,,,,,,fénymásoló,447.4732400602661,None,None,447.4732400602661,None,447.4732400602661,None,447.4732400602661,None," 

",462.48069426603615,None,462.48069426603615,None,return,2.2166132875718176,462.48069426603615,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
15,málna,dominó,,,,,0,13,13,14,,,,,,,,,464.73822637926787,None,,,,,,,,,,,,,,,,,málna,465.7589120492339,None,4,465.7589120492339,None,465.7589120492339,None,465.7589120492339,None, ,476.49893884547055,None,476.49893884547055,None,return,1.2382369535043836,476.49893884547055,None,10.709287527482957,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
10,szalvéta,puska,,,,,0,14,14,9,,,,,,,,,477.77418838161975,None,,,,,,,,,,,,,,,,,puska,478.79547336138785,None,None,478.79547336138785,None,478.79547336138785,None,478.79547336138785,None," 

",493.79662937298417,None,493.79662937298417,None,return,2.9965080181136727,493.79662937298417,None,,,,417089,2022_Mar_09_1817,palt,2021.1.2,60.01728449470085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.82673201104626,None,,,,,,
