itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
10,szalvéta,puska,,,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,159.1265998953022,None,160.14670553803444,None,160.14670553803444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
14,lándzsa,fénymásoló,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,166.12823610100895,None,167.14508083974943,None,167.14508083974943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,173.1312413578853,None,174.14277597004548,None,174.14277597004548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
9,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,180.13061685673892,None,181.15151494415477,None,181.15151494415477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
15,málna,dominó,,,,,,,,,0,0,0,0,0,5,5,14,,,,,,,,,,,,,187.1278019361198,None,188.14669962925836,None,188.14669962925836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
11,szilva,kecske,,,,,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,194.12992642167956,None,195.14252281049266,None,195.14252281049266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,201.12788155348971,None,202.13782163523138,None,202.13782163523138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
13,tenisz,pizsama,,,,,,,,,0,0,0,0,0,8,8,12,,,,,,,,,,,,,208.12990993866697,None,209.14003817923367,None,209.14003817923367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
7,menta,triatlon,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,215.1276977485977,None,216.14645611075684,None,216.14645611075684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
12,koktél,tolltartó,,,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,222.1271422910504,None,223.13734361808747,None,223.13734361808747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003956,2022_Mar_23_1631,palt,2021.1.2,59.98906701753326,
