itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,fix.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
10,málna,dominó,,,,,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,399.5245315618813,400.5341006061062,400.5341006061062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,406.51329210214317,407.53396842908114,407.53396842908114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,413.5300099393353,414.5460706204176,414.5460706204176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,420.519676130265,421.53199695888907,421.53199695888907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,8,8,6,,,,,,,,,,427.51444313675165,428.5329007441178,428.5329007441178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,434.5126215722412,435.5351259941235,435.5351259941235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
9,szilva,kecske,,,,,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,453.3848983999342,,,,,,,454.3798712929711,454.3798712929711,454.3798712929711,454.3798712929711,kecske,4,4.883259849622846,459.30363025236875,459.30363025236875,459.30363025236875,szilva,down,2.9114460488781333,462.24930956494063,462.24930956494063,4,6.6396261509507895,,,,,449.3551459731534,441.53505042009056,441.53505042009056,u,3.4489820320159197,445.01868339721113,445.01868339721113,4,4.305471864528954,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,468.92363859992474,,,,,,,469.94679800234735,469.94679800234735,469.94679800234735,469.94679800234735,karton,4,9.856346289627254,479.8351519946009,479.8351519946009,479.8351519946009, harcsa,down,2.651900950819254,482.52946287952363,482.52946287952363,4,8.571819604374468,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,491.119612746872,,,,,,,492.15072489343584,492.15072489343584,492.15072489343584,492.15072489343584,kirakó,4,5.33538974635303,497.536040042527,497.536040042527,497.536040042527, bagoly,down,2.487189789302647,500.06231479533017,500.06231479533017,4,7.114745328202844,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,507.19730089977384,,,,,,,508.2161239394918,508.2161239394918,508.2161239394918,508.2161239394918,puska,None,,523.2186356270686,523.2186356270686,523.2186356270686, szalag,down,3.0603907415643334,526.3142290394753,526.3142290394753,4,3.450507517904043,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
