itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,278.3044752571732,279.31528366263956,279.31528366263956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
6,menta,triatlon,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,285.30607507470995,286.32273475360125,286.32273475360125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,292.3055541384965,293.3141774125397,293.3141774125397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,299.3096420066431,300.3278871970251,300.3278871970251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
10,málna,dominó,,,,,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,306.29853223636746,307.3276418130845,307.3276418130845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,313.30181148741394,314.31582139246166,314.31582139246166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
9,szilva,kecske,,,,,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,332.1632556524128,,,,,,,333.16263488307595,333.16263488307595,333.16263488307595,333.16263488307595,szilva,4,3.4864660408347845,336.7001170627773,336.7001170627773,336.7001170627773,kecske,down,1.9274252094328403,338.6774801518768,338.6774801518768,4,4.188632014207542,,,,,328.14346818160266,320.30566889978945,320.30566889978945,u,5.538300232030451,325.90107384324074,325.90107384324074,4,2.2169858450070024,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,,,,,0,1,1,0,,,,,,342.8941931370646,,,,,,,343.91795589216053,343.91795589216053,343.91795589216053,343.91795589216053,kirakó,4,4.470772969536483,348.42181019391865,348.42181019391865,348.42181019391865,bagoly,down,1.5499079236760736,349.99338520504534,349.99338520504534,4,2.3006465639919043,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,352.3246539738029,,,,,,,353.3538745800033,353.3538745800033,353.3538745800033,353.3538745800033,puska,4,3.4594893464818597,356.8538179770112,356.8538179770112,356.8538179770112,szilva,down,1.8372936910018325,358.7281916094944,358.7281916094944,4,2.7405560864135623,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
6,menta,triatlon,,,,,,,,,0,0,0,0,,,,,0,3,3,5,,,,,,361.5021412791684,,,,,,,362.5248419465497,362.5248419465497,362.5248419465497,362.5248419465497,triatlon,4,2.2992181116715074,364.8748703105375,364.8748703105375,364.8748703105375,menta,down,1.4959694631397724,366.4146884586662,366.4146884586662,4,1.5488396175205708,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
3,fogó,limonádé,,,,,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,367.9963920144364,,,,,,,369.0126041555777,369.0126041555777,369.0126041555777,369.0126041555777,limonádé,4,2.601796852424741,371.66024293284863,371.66024293284863,371.66024293284863,fecske,down,2.278507573530078,373.97650813218206,373.97650813218206,4,3.573345987126231,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
2,kötény,tisztás,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,377.58117080200464,,,,,,,378.6119492389262,378.6119492389262,378.6119492389262,378.6119492389262,kötény,4,2.208108788356185,380.8682645345107,380.8682645345107,380.8682645345107, triatlon,down,2.350536343641579,383.25482184346765,383.25482184346765,4,1.1408729394897819,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,6,6,3,,,,,,384.41503212042153,,,,,,,385.44671092089266,385.44671092089266,385.44671092089266,385.44671092089266,mocsár,4,3.2265996737405658,388.7237152950838,388.7237152950838,388.7237152950838, ,down,1.2952437605708838,390.05249756760895,390.05249756760895,4,1.905336913652718,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
5,karton,hentes,,,,,,,,,0,0,0,0,,,,,0,7,7,4,,,,,,391.98818331211805,,,,,,,393.0050868205726,393.0050868205726,393.0050868205726,393.0050868205726,karton,4,3.2966180983930826,396.3383659347892,396.3383659347892,396.3383659347892, ,down,1.504404578357935,397.8728525005281,397.8728525005281,4,1.2860295744612813,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,8,8,9,,,,,,399.1901664128527,,,,,,,400.2114958539605,400.2114958539605,400.2114958539605,400.2114958539605,dominó,4,2.801197045482695,403.052852736786,403.052852736786,403.052852736786,menta,down,1.861884344369173,404.9393714806065,404.9393714806065,4,1.1614827113226056,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,9,9,6,,,,,,406.1341563388705,,,,,,,407.15279992856085,407.15279992856085,407.15279992856085,407.15279992856085,hering,4,3.6063894843682647,410.79164468869567,410.79164468869567,410.79164468869567,csalán,down,2.731240199878812,413.5612623495981,413.5612623495981,4,0.3132429448887706,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
