itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,417.7993106851354,418.8067092159763,418.8067092159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,424.8017427548766,425.8057814836502,425.8057814836502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,431.806699574925,432.8192592570558,432.8192592570558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,438.7997128162533,439.8065294539556,439.8065294539556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,445.80357520468533,446.80806707032025,446.80806707032025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,452.79993394203484,453.8077386468649,453.8077386468649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,0,0,0,0,,,,,0,0,0,9,,,,,,486.26646747719496,,,,,,,487.27313669770956,487.27313669770956,487.27313669770956,487.27313669770956,dominó,None,,502.2503467714414,502.2503467714414,502.2503467714414, ,down,2.813794712536037,505.1020026318729,505.1020026318729,4,3.8528568036854267,,,,,,482.2427221387625,459.80108995269984,459.80108995269984,u,15.327183537185192,475.17349491547793,475.17349491547793,4,7.0395828653126955,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,0,0,0,0,,,,,0,1,1,6,,,,,,508.9793071895838,,,,,,,509.9979370944202,509.9979370944202,509.9979370944202,509.9979370944202,hering,None,,524.9936420954764,524.9936420954764,524.9936420954764, ,down,1.9896613620221615,527.0153677584603,527.0153677584603,4,12.993313199840486,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,0,0,0,0,,,,,0,2,2,3,,,,,,540.0273676291108,,,,,,,541.0545206638053,541.0545206638053,541.0545206638053,541.0545206638053,mocsár,None,,556.0338807245716,556.0338807245716,556.0338807245716, ,down,1.4296194016933441,557.4826856516302,557.4826856516302,4,1.9302383046597242,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,559.4397832527757,,,,,,,560.4556918516755,560.4556918516755,560.4556918516755,560.4556918516755,szalvéta,None,,575.4491541869938,575.4491541869938,575.4491541869938, ,down,2.7820232324302197,578.2759425975382,578.2759425975382,4,4.463046368211508,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
