itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
3,fogó,limonádé,,,,,,,,,2,0,2,0,,,,,0,1,1,2,,,,,,1237.6389769380912,,,,,,,1238.6526652621105,1238.6526652621105,1238.6526652621105,1238.6526652621105,limonádé,4,11.874845889396966,1250.5593254016712,1250.5593254016712,1250.5593254016712,fogó,down,1.8877812661230564,1252.4819445237517,1252.4819445237517,4,3.2435044683516026,1238.6526652621105,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,2,0,2,0,,,,,0,2,2,4,,,,,,1255.7593560051173,,,,,,,1256.7873817235231,1256.7873817235231,1256.7873817235231,1256.7873817235231,karton,None,,1271.7856798972934,1271.7856798972934,1271.7856798972934, ,down,1.8615121124312282,1273.6843026988208,1273.6843026988208,4,0.8630142724141479,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,2,0,2,0,,,,,0,3,3,8,,,,,,1274.5802573757246,,,,,,,1275.589160244912,1275.589160244912,1275.589160244912,1275.589160244912,szilva,4,5.270227070897818,1280.894011198543,1280.894011198543,1280.894011198543, keszeg,down,2.816931522451341,1283.734020180069,1283.734020180069,4,10.870343138463795,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,2,0,2,0,,,,,0,4,4,9,,,,,,1294.6366419019178,,,,,,,1295.6614328436553,1295.6614328436553,1295.6614328436553,1295.6614328436553,dominó,4,3.926729841157794,1299.6086886469275,1299.6086886469275,1299.6086886469275,menta,down,2.5176488272845745,1302.157345908694,1302.157345908694,4,10.33031537104398,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,2,0,2,0,,,,,0,5,5,0,,,,,,1312.5139473918825,,,,,,,1313.5417423443869,1313.5417423443869,1313.5417423443869,1313.5417423443869,bagoly,4,11.094779657199979,1324.676583209075,1324.676583209075,1324.676583209075, karton,down,3.8013112265616655,1328.5137943774462,1328.5137943774462,4,7.41691230237484,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,2,0,2,0,,,,,0,6,6,5,,,,,,1335.9575572684407,,,,,,,1336.9707641545683,1336.9707641545683,1336.9707641545683,1336.9707641545683,triatlon,None,,1351.9877538122237,1351.9877538122237,1351.9877538122237, málna,down,7.818246457725763,1359.8381105987355,1359.8381105987355,4,15.378475022502244,1336.9707641545683,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,2,0,2,0,,,,,0,7,7,3,,,,,,1375.23609832488,,,,,,,1376.242627903819,1376.242627903819,1376.242627903819,1376.242627903819,mocsár,4,5.149454891681671,1381.4240659233183,1381.4240659233183,1381.4240659233183,ananász,down,2.0292297722771764,1383.4945741817355,1383.4945741817355,4,2.4337302846834064,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,2,0,2,0,,,,,0,8,8,7,,,,,,1385.9500178517774,,,,,,,1386.965117833577,1386.965117833577,1386.965117833577,1386.965117833577,szalvéta,None,,1401.9620693493634,1401.9620693493634,1401.9620693493634, ,down,16.19462266098708,1418.2021236754954,1418.2021236754954,4,2.5864586802199483,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,2,0,2,0,,,,,0,9,9,6,,,,,,1420.8168007517233,,,,,,,1421.84454749804,1421.84454749804,1421.84454749804,1421.84454749804,hering,4,6.345435258001089,1428.2233016556129,1428.2233016556129,1428.2233016556129,csavarhúzó,down,2.8939043609425426,1431.1565145878121,1431.1565145878121,4,2.159596187993884,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.3688756618649,1433.3688756618649,4,32.89218636136502,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,3,0,3,0,0,0,0,6,,,,,,,,,,1470.3203524444252,1471.3108250750229,1471.3108250750229,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.291707823053,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,3,0,3,0,0,1,1,9,,,,,,,,,,1477.2961085634306,1478.3226140830666,1478.3226140830666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,3,0,3,0,0,2,2,8,,,,,,,,,,1484.2959116958082,1485.31797386799,1485.31797386799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,3,0,3,0,0,3,3,1,,,,,,,,,,1491.2949146097526,1492.3094526035711,1492.3094526035711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,3,0,3,0,0,4,4,7,,,,,,,,,,1498.2990898704156,1499.3068249104545,1499.3068249104545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,3,0,3,0,0,5,5,5,,,,,,,,,,1505.3021153407171,1506.3032825477421,1506.3032825477421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,3,0,3,0,0,6,6,2,,,,,,,,,,1512.305258370936,1513.322475373745,1513.322475373745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,3,0,3,0,0,7,7,0,,,,,,,,,,1519.294857384637,1520.3136107586324,1520.3136107586324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,3,0,3,0,0,8,8,4,,,,,,,,,,1526.2963822484016,1527.3028648663312,1527.3028648663312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,3,0,3,0,0,9,9,3,,,,,,,,,,1533.3053591372445,1534.3131594890729,1534.3131594890729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
7,csavarhúzó,hering,,,,,,,,,3,0,3,0,,,,,0,0,0,6,,,,,,1551.6430324614048,,,,,,,1552.6221968987957,1552.6221968987957,1552.6221968987957,1552.6221968987957,hering,4,3.7116185380145907,1556.382905160077,1556.382905160077,1556.382905160077,csavarhúzó,down,3.0206372886896133,1559.4358253860846,1559.4358253860846,4,1.5506198601797223,,,,,,1547.6184225250036,1540.2962230136618,1540.2962230136618,u,2.883758398704231,1543.2125091124326,1543.2125091124326,4,4.371947309933603,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
2,kötény,tisztás,,,,,,,,,3,0,3,0,,,,,0,1,1,1,,,,,,1561.0144636631012,,,,,,,1562.0359725542367,1562.0359725542367,1562.0359725542367,1562.0359725542367,tisztás,4,4.2852891106158495,1566.3547080764547,1566.3547080764547,1566.3547080764547, kirakó,down,2.536557394079864,1568.927880727686,1568.927880727686,4,4.835635446943343,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
3,fogó,limonádé,,,,,,,,,3,0,3,0,,,,,0,2,2,2,,,,,,1573.785724681802,,,,,,,1574.810628829524,1574.810628829524,1574.810628829524,1574.810628829524,limonádé,4,3.3492217613384128,1578.195143448189,1578.195143448189,1578.195143448189, fogó,down,1.687636213377118,1579.927956301719,1579.927956301719,4,1.4955356512218714,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
5,karton,hentes,,,,,,,,,3,0,3,0,,,,,0,3,3,4,,,,,,1581.445370794274,,,,,,,1582.4623694699258,1582.4623694699258,1582.4623694699258,1582.4623694699258,karton,4,2.0058688381686807,1584.5073307314888,1584.5073307314888,1584.5073307314888,hentes,down,2.0953133441507816,1586.6395084476098,1586.6395084476098,4,1.5682971524074674,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
10,málna,dominó,,,,,,,,,3,0,3,0,,,,,0,4,4,9,,,,,,1588.2290310151875,,,,,,,1589.238599749282,1589.238599749282,1589.238599749282,1589.238599749282,dominó,4,4.5668344888836145,1593.8307496989146,1593.8307496989146,1593.8307496989146, málna,down,3.1238425821065903,1596.9973430717364,1596.9973430717364,4,2.441070968285203,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
1,bagoly,kirakó,,,,,,,,,3,0,3,0,,,,,0,5,5,0,,,,,,1599.4609830034897,,,,,,,1600.486439188011,1600.486439188011,1600.486439188011,1600.486439188011,bagoly,4,12.354517578147352,1612.8760235216469,1612.8760235216469,1612.8760235216469,kirakó,down,1.8064646031707525,1614.7186353160068,1614.7186353160068,4,1.6562883239239454,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
8,szalvéta,puska,,,,,,,,,3,0,3,0,,,,,0,6,6,7,,,,,,1616.401704874821,,,,,,,1617.4268245501444,1617.4268245501444,1617.4268245501444,1617.4268245501444,szalvéta,None,,1632.405060322024,1632.405060322024,1632.405060322024, ,down,5.685668165795505,1638.1270430004224,1638.1270430004224,4,2.2204427225515246,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
9,szilva,kecske,,,,,,,,,3,0,3,0,,,,,0,7,7,8,,,,,,1640.3744296142831,,,,,,,1641.4006844628602,1641.4006844628602,1641.4006844628602,1641.4006844628602,szilva,4,3.4516943246126175,1644.8923059506342,1644.8923059506342,1644.8923059506342,kötény,down,1.9343211958184838,1646.854789249599,1646.854789249599,4,2.88021479267627,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
4,mocsár,ananász,,,,,,,,,3,0,3,0,,,,,0,8,8,3,,,,,,1649.7561038108543,,,,,,,1650.7752764225006,1650.7752764225006,1650.7752764225006,1650.7752764225006,mocsár,4,2.359114252962172,1653.1546298898757,1653.1546298898757,1653.1546298898757,ananász,down,3.2242780532687902,1656.4312137831002,1656.4312137831002,4,1.789658128283918,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
6,menta,triatlon,,,,,,,,,3,0,3,0,,,,,0,9,9,5,,,,,,1658.2478310409933,,,,,,,1659.27463792637,1659.27463792637,1659.27463792637,1659.27463792637,triatlon,4,2.5906917890533805,1661.8895535441115,1661.8895535441115,1661.8895535441115,menta,down,1.7683573011308908,1663.6832004915923,1663.6832004915923,4,1.4778179284185171,,,,,,,,,,,,,,,,,,,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.2251779576764,1665.2251779576764,4,31.984636121429503,,,150196,2022-09-06_11h45.29.689,palt,2022.2.2,50.62718561994603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.2310550455004,,,,,,
