itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
3,hárfa,elefánt,,,,,,,,,0,3,3,2,,,,,,,,,,,,,334.4690542225726,None,335.46455053659156,None,335.46455053659156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
13,tenisz,pizsama,,,,,,,,,0,4,4,12,,,,,,,,,,,,,341.47664433857426,None,342.48332196101546,None,342.48332196101546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
1,bagoly,kirakó,,,,,,,,,0,5,5,0,,,,,,,,,,,,,348.46868568006903,None,349.4827708574012,None,349.4827708574012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
10,szalvéta,puska,,,,,,,,,0,6,6,9,,,,,,,,,,,,,355.4689873564057,None,356.48694425448775,None,356.48694425448775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
8,pelikán,kakaó,,,,,,,,,0,7,7,7,,,,,,,,,,,,,362.4667981811799,None,363.4866637266241,None,363.4866637266241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
9,csavarhúzó,hering,,,,,,,,,0,8,8,8,,,,,,,,,,,,,369.4666939936578,None,370.482241212856,None,370.482241212856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
2,kötény,tisztás,,,,,,,,,0,9,9,1,,,,,,,,,,,,,376.46916867326945,None,377.4782099458389,None,377.4782099458389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
12,koktél,tolltartó,,,,,,,,,0,10,10,11,,,,,,,,,,,,,383.46831402694806,None,384.48345942562446,None,384.48345942562446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
5,mocsár,ananász,,,,,,,,,0,11,11,4,,,,,,,,,,,,,390.46635872870684,None,391.4825360472314,None,391.4825360472314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
4,fogó,limonádé,,,,,,,,,0,12,12,3,,,,,,,,,,,,,397.460287258029,None,398.46648188726977,None,398.46648188726977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
15,málna,dominó,,,,,,,,,0,13,13,14,,,,,,,,,,,,,404.4749801424332,None,405.48664942011237,None,405.48664942011237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
7,menta,triatlon,,,,,,,,,0,14,14,6,,,,,,,,,,,,,411.46901721321046,None,412.48635085392743,None,412.48635085392743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.473890685942,None,u,31.44477735972032,418.473890685942,None,,,,,,,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.9721266566776,None,4,14.478910643607378,449.9721266566776,None,,,880818,2022_Mar_16_1655,palt,2021.1.2,59.61579530177983,
