itemno,wordA,wordB,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,cue_resp.rt,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,20.080575585830957,None,4,14.412444493267685,20.080575585830957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
1,bagoly,kirakó,0,0,0,0,,,,,,,,,,,34.51903049275279,None,38.54568624543026,None,39.54421891598031,None,41.531146998517215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
2,kötény,tisztás,0,1,1,1,,,,,,,,,,,,,45.52837872877717,None,46.54397508688271,None,48.53436933737248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
3,hárfa,elefánt,0,2,2,2,,,,,,,,,,,,,52.52940100757405,None,53.54402018291876,None,55.53356414148584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
4,fogó,limonádé,0,3,3,3,,,,,,,,,,,,,59.527455039322376,None,60.54445839114487,None,62.533030765131116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
5,mocsár,ananász,0,4,4,4,,,,,,,,,,,,,66.52549787471071,None,67.53327086241916,None,69.51379096508026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
6,karton,hentes,0,5,5,5,,,,,,,,,,,,,73.52736329240724,None,74.53845596406609,None,76.51280196383595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
7,menta,triatlon,0,6,6,6,,,,,,,,,,,,,80.52791843889281,None,81.54069054638967,None,83.5172375398688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
8,pelikán,kakaó,0,7,7,7,,,,,,,,,,,,,87.5270485538058,None,88.53401012485847,None,90.5335856010206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
9,csavarhúzó,hering,0,8,8,8,,,,,,,,,,,,,94.52695462945849,None,95.5373142589815,None,97.528098823037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
10,szalvéta,puska,0,9,9,9,,,,,,,,,,,,,101.5275020012632,None,102.53476276108995,None,104.51648023864254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
11,szilva,kecske,0,10,10,10,,,,,,,,,,,,,108.53251542756334,None,109.54114990308881,None,111.52521796897054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
12,koktél,tolltartó,0,11,11,11,,,,,,,,,,,,,115.52449083561078,None,116.53103503584862,None,118.51676823105663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449122,2022_Mar_10_1145,palt,2021.1.2,60.02042129681627,
