itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_repeat.thisRepN,enc_repeat.thisTrialN,enc_repeat.thisN,enc_repeat.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,21.197202547526103,None,4,25.07575899886433,21.197202547526103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
1,sapka,beton,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,46.313465640181676,None,49.3557997035532,None,50.33180047982023,None,50.33180047982023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
2,lepke,szintetizátor,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,56.32109341614705,None,57.34644925566681,None,57.34644925566681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
3,majoránna,szikla,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,63.331599879820715,None,64.33291606460989,None,64.33291606460989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
4,kard,harcsa,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,70.31742818986822,None,71.33428978582378,None,71.33428978582378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31803589900665,None,4,11.461090442928253,77.31803589900665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
4,kard,harcsa,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,88.81998996066977,None,,,,,,,,,,,kard,89.81996445803088,None,4,3.0599999253463466,89.81996445803088,None,89.81996445803088,None,89.81996445803088,None, harcsa,92.92562000949692,None,92.92562000949692,None,return,2.3331608277076157,92.92562000949692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
1,sapka,beton,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,95.30543168808799,None,,,,,,,,,,,sapka,96.29960371392372,None,4,1.5759412493935088,96.29960371392372,None,96.29960371392372,None,96.29960371392372,None," 
beton",97.91859776560159,None,97.91859776560159,None,return,2.4604575421690242,97.91859776560159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
2,lepke,szintetizátor,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,100.4153959408577,None,,,,,,,,,,,lepke,101.42998904630076,None,4,1.4159622859588126,101.42998904630076,None,101.42998904630076,None,101.42998904630076,None," 
szintetizátor",102.88219399792433,None,102.88219399792433,None,return,15.096367616119096,102.88219399792433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
3,majoránna,szikla,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,118.00115850385919,None,,,,,,,,,,,szikla,119.01829845174507,None,4,14.18414986343123,119.01829845174507,None,119.01829845174507,None,119.01829845174507,None," 
",133.2335133238812,None,133.2335133238812,None,return,0.7291987134231022,133.2335133238812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.98745954566402,None,4,17.431715139289736,133.98745954566402,None,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
10,szalvéta,puska,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,155.48097690021677,None,156.46089450803993,None,156.46089450803993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.44512828136794,None,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
6,karton,hentes,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,162.4508906328847,None,163.45785845041974,None,163.45785845041974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
9,csavarhúzó,hering,,,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,169.45134750325815,None,170.46903575780743,None,170.46903575780743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
4,fogó,limonádé,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,176.45819153971388,None,177.45137860403338,None,177.45137860403338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
7,menta,triatlon,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,183.4503242877836,None,184.44867812377925,None,184.44867812377925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
11,szilva,kecske,,,,,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,190.45299460028764,None,191.45632082813245,None,191.45632082813245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
3,hárfa,elefánt,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,197.45032895289478,None,198.4576727787935,None,198.4576727787935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
15,málna,dominó,,,,,,,,,0,0,0,0,0,7,7,14,,,,,,,,,,,,,204.44372719146486,None,205.45380290941102,None,205.45380290941102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
1,bagoly,kirakó,,,,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,211.4524531358038,None,212.45832869413425,None,212.45832869413425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
2,kötény,tisztás,,,,,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,218.45055598854378,None,219.46339376628748,None,219.46339376628748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
8,pelikán,kakaó,,,,,,,,,0,0,0,0,0,10,10,7,,,,,,,,,,,,,225.4558384551201,None,226.45219655441178,None,226.45219655441178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
14,lándzsa,fénymásoló,,,,,,,,,0,0,0,0,0,11,11,13,,,,,,,,,,,,,232.44841905432986,None,233.4507730719488,None,233.4507730719488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
13,tenisz,pizsama,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,239.45733191430918,None,240.44721421031863,None,240.44721421031863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
5,mocsár,ananász,,,,,,,,,0,0,0,0,0,13,13,4,,,,,,,,,,,,,246.44828749804583,None,247.44859788377653,None,247.44859788377653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
12,koktél,tolltartó,,,,,,,,,0,0,0,0,0,14,14,11,,,,,,,,,,,,,253.44817709029303,None,254.45616905634233,None,254.45616905634233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.159984250567504,260.50140699904296,None,260.50140699904296,None,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
10,szalvéta,puska,,,,,,,,,1,0,1,0,0,0,0,9,,,,,,,,,,,,,266.6930639674538,None,267.7000554215774,None,267.7000554215774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
6,karton,hentes,,,,,,,,,1,0,1,0,0,1,1,5,,,,,,,,,,,,,273.6861763899069,None,274.69617248987197,None,274.69617248987197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
9,csavarhúzó,hering,,,,,,,,,1,0,1,0,0,2,2,8,,,,,,,,,,,,,280.68524616573995,None,281.6979794448707,None,281.6979794448707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
13,tenisz,pizsama,,,,,,,,,1,0,1,0,0,3,3,12,,,,,,,,,,,,,287.6978603289026,None,288.69696431558987,None,288.69696431558987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,0,4,4,0,,,,,,,,,,,,,294.69860425943625,None,295.6900453262642,None,295.6900453262642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
15,málna,dominó,,,,,,,,,1,0,1,0,0,5,5,14,,,,,,,,,,,,,301.69916811648,None,302.6896497244161,None,302.6896497244161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
3,hárfa,elefánt,,,,,,,,,1,0,1,0,0,6,6,2,,,,,,,,,,,,,308.6847597496235,None,309.69340576496325,None,309.69340576496325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
2,kötény,tisztás,,,,,,,,,1,0,1,0,0,7,7,1,,,,,,,,,,,,,315.68569059581205,None,316.6967851751251,None,316.6967851751251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
8,pelikán,kakaó,,,,,,,,,1,0,1,0,0,8,8,7,,,,,,,,,,,,,322.6977707586775,None,323.6976930067467,None,323.6976930067467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
12,koktél,tolltartó,,,,,,,,,1,0,1,0,0,9,9,11,,,,,,,,,,,,,329.6975595844124,None,330.6985576082807,None,330.6985576082807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
14,lándzsa,fénymásoló,,,,,,,,,1,0,1,0,0,10,10,13,,,,,,,,,,,,,336.6973502762121,None,337.7068024236214,None,337.7068024236214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
11,szilva,kecske,,,,,,,,,1,0,1,0,0,11,11,10,,,,,,,,,,,,,343.68321279709926,None,344.6906580115319,None,344.6906580115319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
5,mocsár,ananász,,,,,,,,,1,0,1,0,0,12,12,4,,,,,,,,,,,,,350.68855186707515,None,351.69752723960846,None,351.69752723960846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
7,menta,triatlon,,,,,,,,,1,0,1,0,0,13,13,6,,,,,,,,,,,,,357.6972582179151,None,358.6887698835053,None,358.6887698835053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
4,fogó,limonádé,,,,,,,,,1,0,1,0,0,14,14,3,,,,,,,,,,,,,364.697405635583,None,365.68959343202005,None,365.68959343202005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.308661503528128,371.7002721939789,None,371.7002721939789,None,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0419667632232,None,u,11.774485484333127,376.0419667632232,None,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.85542991533293,None,4,23.227887815766735,387.85542991533293,None,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
10,szalvéta,puska,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,,,415.13718520573457,None,,,,,,,,,,,szalvéta,416.12408338242676,None,4,3.6921670211158926,416.12408338242676,None,416.12408338242676,None,416.12408338242676,None," 
puska
",419.8466977508506,None,419.8466977508506,None,return,3.521609129194985,419.8466977508506,None,,,,,,,411.1088682614791,None,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
5,mocsár,ananász,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,423.4079709419311,None,,,,,,,,,,,ananász,424.4289002081932,None,4,2.8032975529204123,424.4289002081932,None,424.4289002081932,None,424.4289002081932,None, mocsár,427.26351593012805,None,427.26351593012805,None,return,2.984694064798532,427.26351593012805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
15,málna,dominó,,,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,430.2783040374343,None,,,,,,,,,,,dominó,431.29490469789016,None,4,2.086366229035775,431.29490469789016,None,431.29490469789016,None,431.29490469789016,None," 
málna",433.40404073703394,None,433.40404073703394,None,return,4.476121447281912,433.40404073703394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
14,lándzsa,fénymásoló,,,,,,,,,,,,,,,,,0,3,3,13,,,,,,,,,437.90105972779565,None,,,,,,,,,,,fénymásoló,438.9325066540041,None,4,1.2625586482754443,438.9325066540041,None,438.9325066540041,None,438.9325066540041,None," 
lándzsa
",440.2265582576656,None,440.2265582576656,None,return,3.8614043741254136,440.2265582576656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
2,kötény,tisztás,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,444.1190584302676,None,,,,,,,,,,,kötény,445.1396981483267,None,4,1.279358042695094,445.1396981483267,None,445.1396981483267,None,445.1396981483267,None, tisztás,446.45330187593936,None,446.45330187593936,None,return,3.0907094522117404,446.45330187593936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
4,fogó,limonádé,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,449.5692835065711,None,,,,,,,,,,,fogó,450.5868669515039,None,4,8.32807398501609,450.5868669515039,None,450.5868669515039,None,450.5868669515039,None," 
limonádé",458.93932238876005,None,458.93932238876005,None,return,3.3886797534651123,458.93932238876005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309797,2022_Mar_30_1609,palt,2021.1.2,58.87072203997019,
