itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,end_text.started,end_text.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
7,menta,triatlon,,,,,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,104.33176503051072,None,105.34372665500268,None,105.34372665500268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
8,pelikán,kakaó,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,111.3344686110504,None,112.3277894333005,None,112.3277894333005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
15,málna,dominó,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,118.33272604085505,None,119.33851978275925,None,119.33851978275925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.33289336273447,None,u,8.260973089840263,125.33289336273447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.62649570824578,None,4,2.1815802617929876,133.62649570824578,None,,,,,,,,,,,,,,,,,,,,,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
14,lándzsa,fénymásoló,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,135.83763870084658,None,139.86313346587121,None,,,,,,,,,,,,,,,,,fénymásoló,140.8677173918113,None,4,14.664924304001033,140.8677173918113,None,140.8677173918113,None,140.8677173918113,None," 
",155.58743763528764,None,155.58743763528764,None,return,1.1900726077146828,155.58743763528764,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
11,szilva,kecske,,,,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,156.82805130118504,None,,,,,,,,,,,,,,,,,kecske,157.8509395197034,None,None,,157.8509395197034,None,157.8509395197034,None,157.8509395197034,None, ,172.83363511320204,None,172.83363511320204,None,return,4.296049345750362,172.83363511320204,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
9,csavarhúzó,hering,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,177.15556735964492,None,,,,,,,,,,,,,,,,,hering,178.16695424402133,None,4,2.601376950740814,178.16695424402133,None,178.16695424402133,None,178.16695424402133,None," 
csavarhúzó",180.81358980573714,None,180.81358980573714,None,return,5.323694099206477,180.81358980573714,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
4,fogó,limonádé,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,186.16844769753516,None,,,,,,,,,,,,,,,,,fogó,187.1791861327365,None,4,11.303267186507583,187.1791861327365,None,187.1791861327365,None,187.1791861327365,None," 
",198.52168057998642,None,198.52168057998642,None,return,1.4394722091965377,198.52168057998642,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
13,tenisz,pizsama,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,199.9842269900255,None,,,,,,,,,,,,,,,,,tenisz,201.0072959032841,None,None,,201.0072959032841,None,201.0072959032841,None,201.0072959032841,None," 

",216.01112470543012,None,216.01112470543012,None,return,1.0218898877501488,216.01112470543012,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
10,szalvéta,puska,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,217.07680027699098,None,,,,,,,,,,,,,,,,,szalvéta,218.09522679494694,None,4,12.908432508353144,218.09522679494694,None,218.09522679494694,None,218.09522679494694,None, ,231.04827972920612,None,231.04827972920612,None,return,0.9924593344330788,231.04827972920612,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
2,kötény,tisztás,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,232.06720634596422,None,,,,,,,,,,,,,,,,,kötény,233.08919855440035,None,None,,233.08919855440035,None,233.08919855440035,None,233.08919855440035,None," 
triatlon",248.0868896418251,None,248.0868896418251,None,return,4.801643420942128,248.0868896418251,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
15,málna,dominó,,,,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,252.92110136104748,None,,,,,,,,,,,,,,,,,málna,253.93069560360163,None,None,,253.93069560360163,None,253.93069560360163,None,253.93069560360163,None," 
",268.9261222514324,None,268.9261222514324,None,return,1.9466225621290505,268.9261222514324,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
6,karton,hentes,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,270.9020033800043,None,,,,,,,,,,,,,,,,,hentes,271.9214845211245,None,4,9.800705736037344,271.9214845211245,None,271.9214845211245,None,271.9214845211245,None," 
karton",281.7543825493194,None,281.7543825493194,None,return,2.925782321486622,281.7543825493194,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
3,hárfa,elefánt,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,284.7102049966343,None,,,,,,,,,,,,,,,,,elefánt,285.7310446151532,None,None,,285.7310446151532,None,285.7310446151532,None,285.7310446151532,None," 
hentes",300.7235282077454,None,300.7235282077454,None,return,5.700750396586955,300.7235282077454,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
8,pelikán,kakaó,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,306.4567542229779,None,,,,,,,,,,,,,,,,,kakaó,307.4845582116395,None,None,,307.4845582116395,None,307.4845582116395,None,307.4845582116395,None," 

",322.46340478817,None,322.46340478817,None,return,2.3282873551361263,322.46340478817,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
12,koktél,tolltartó,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,324.8368667825125,None,,,,,,,,,,,,,,,,,tolltartó,325.8474929444492,None,4,7.752132727764547,325.8474929444492,None,325.8474929444492,None,325.8474929444492,None," kirakó
",333.6340724504553,None,333.6340724504553,None,return,3.0293730166740716,333.6340724504553,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
5,mocsár,ananász,,,,,,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,336.702411793638,None,,,,,,,,,,,,,,,,,mocsár,337.71096634073183,None,None,,337.71096634073183,None,337.71096634073183,None,337.71096634073183,None, ,352.7102917674929,None,352.7102917674929,None,return,4.065274062100798,352.7102917674929,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
1,bagoly,kirakó,,,,,,,,,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,356.80442257551476,None,,,,,,,,,,,,,,,,,bagoly,357.81292891688645,None,None,,357.81292891688645,None,357.81292891688645,None,357.81292891688645,None," 
",372.8174559287727,None,372.8174559287727,None,return,0.8217926048673689,372.8174559287727,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
7,menta,triatlon,,,,,,,,,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,373.66622244520113,None,,,,,,,,,,,,,,,,,triatlon,374.67861699080095,None,4,11.648419806733727,374.67861699080095,None,374.67861699080095,None,374.67861699080095,None," 
málna
",386.35674259159714,None,386.35674259159714,None,return,3.1221618317067623,386.35674259159714,None,,,880818_ujra,2022_Mar_16_1709,palt,2021.1.2,59.986940708651865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.520821579732,None,,,,,,
